id,condition,interval,estimate
101.0,voluntary,350,500.0
101.0,voluntary,250,500.0
101.0,voluntary,150,400.0
101.0,voluntary,150,450.0
101.0,voluntary,350,500.0
101.0,voluntary,250,500.0
101.0,voluntary,250,450.0
101.0,voluntary,350,450.0
101.0,voluntary,50,350.0
101.0,voluntary,50,350.0
101.0,voluntary,50,300.0
101.0,voluntary,350,400.0
101.0,voluntary,350,500.0
101.0,voluntary,250,400.0
101.0,voluntary,350,450.0
101.0,voluntary,250,400.0
101.0,voluntary,150,400.0
101.0,voluntary,50,300.0
101.0,voluntary,50,300.0
101.0,voluntary,350,400.0
101.0,voluntary,50,300.0
101.0,voluntary,150,400.0
101.0,voluntary,250,450.0
101.0,voluntary,150,500.0
101.0,voluntary,350,450.0
101.0,voluntary,350,500.0
101.0,voluntary,50,300.0
101.0,voluntary,250,400.0
101.0,voluntary,50,300.0
101.0,voluntary,50,300.0
101.0,voluntary,350,500.0
101.0,voluntary,250,400.0
101.0,voluntary,250,400.0
101.0,voluntary,150,400.0
101.0,voluntary,150,300.0
101.0,voluntary,150,350.0
101.0,voluntary,150,400.0
101.0,voluntary,150,400.0
101.0,voluntary,50,450.0
101.0,voluntary,250,450.0
101.0,voluntary,250,500.0
101.0,voluntary,50,300.0
101.0,voluntary,150,400.0
101.0,voluntary,350,500.0
101.0,voluntary,50,350.0
101.0,voluntary,350,350.0
101.0,voluntary,50,300.0
101.0,voluntary,350,450.0
101.0,voluntary,50,300.0
101.0,voluntary,150,400.0
101.0,voluntary,50,300.0
101.0,voluntary,150,350.0
101.0,voluntary,250,400.0
101.0,voluntary,50,400.0
101.0,voluntary,250,500.0
101.0,voluntary,50,300.0
101.0,voluntary,150,450.0
101.0,voluntary,350,500.0
101.0,voluntary,250,450.0
101.0,voluntary,350,450.0
101.0,voluntary,150,450.0
101.0,voluntary,350,500.0
101.0,voluntary,150,400.0
101.0,voluntary,250,450.0
101.0,voluntary,50,300.0
101.0,voluntary,50,250.0
101.0,voluntary,250,350.0
101.0,voluntary,350,400.0
101.0,voluntary,150,300.0
101.0,voluntary,150,350.0
101.0,voluntary,250,400.0
101.0,voluntary,350,450.0
101.0,voluntary,50,300.0
101.0,voluntary,350,450.0
101.0,voluntary,150,300.0
101.0,voluntary,150,300.0
101.0,voluntary,250,400.0
101.0,voluntary,350,400.0
101.0,voluntary,250,400.0
101.0,voluntary,250,350.0
101.0,involuntary,350,400.0
101.0,involuntary,250,350.0
101.0,involuntary,250,450.0
101.0,involuntary,250,450.0
101.0,involuntary,250,450.0
101.0,involuntary,50,300.0
101.0,involuntary,50,300.0
101.0,involuntary,150,400.0
101.0,involuntary,50,350.0
101.0,involuntary,350,450.0
101.0,involuntary,150,400.0
101.0,involuntary,150,400.0
101.0,involuntary,250,400.0
101.0,involuntary,250,350.0
101.0,involuntary,250,450.0
101.0,involuntary,150,350.0
101.0,involuntary,150,400.0
101.0,involuntary,250,450.0
101.0,involuntary,150,400.0
101.0,involuntary,50,300.0
101.0,involuntary,150,400.0
101.0,involuntary,50,350.0
101.0,involuntary,50,300.0
